,Magnitude,lat,long,depth (km)
"M 2.4 - 9km SSE of Big Bear City, CA",2.37,-116.8218333,34.179,3.241
"M 1.8 - 6km SW of Holtville, CA",1.78,-115.4376667,32.7785,15.529
"M 2.0 - 9km SSW of Holtville, CA",1.99,-115.423,32.741,15.618
"M 1.7 - 6km SW of Holtville, CA",1.69,-115.4306667,32.7811667,17.71
"M 1.8 - 7km SW of Holtville, CA",1.75,-115.4256667,32.7576667,17.92
"M 0.4 - 10km S of Idyllwild, CA",0.38,-116.7031667,33.6556667,12.867
"M 1.5 - 30km NNW of Twentynine Palms, CA",1.49,-116.1623333,34.4001667,6.741
"M 1.2 - 5km SW of Anza, CA",1.23,-116.7126667,33.5188333,13.819
"M 1.5 - 9km NNE of Mexicali, B.C., MX",1.52,-115.4175,32.716,8.57
"M 1.6 - 9km SSW of Holtville, CA",1.6,-115.4265,32.7446667,9.708
"M 2.3 - 9km SSW of Holtville, CA",2.34,-115.4265,32.7411667,6.008
"M 0.8 - 6km W of San Jacinto, CA",0.82,-117.0286667,33.7908333,15.815
"M 1.8 - 8km SSW of Holtville, CA",1.83,-115.4216667,32.7513333,16.205
"M 0.7 - 6km NNW of Aguanga, CA",0.66,-116.8895,33.4931667,10.833
"M 1.6 - 8km SSW of Holtville, CA",1.64,-115.4226667,32.7518333,16.865
"M 3.2 - 14km S of Big Bear Lake, CA",3.24,-116.9143333,34.1131667,8.168
"M 0.8 - 9km NNE of Beaumont, CA",0.77,-116.9466667,34.0078333,6.004
"M 1.4 - 13km SE of Anza, CA",1.38,-116.5658333,33.4853333,7.529
"M 1.6 - 12km SE of Anza, CA",1.57,-116.5716667,33.4891667,7.279
"M 0.8 - 7km WSW of Niland, CA",0.75,-115.5896667,33.2086667,3.143
"M 1.6 - 23km ESE of Ocotillo Wells, CA",1.63,-115.9185,33.0368333,5.424
"M 1.3 - 12km SE of Anza, CA",1.31,-116.5665,33.4866667,7.559
"M 2.1 - 4km E of Santa Paula, CA",2.14,-119.012,34.3495,16.163
"M 0.1 - 12km SE of Anza, CA",0.12,-116.5656667,33.4941667,7.069
"M 1.0 - 21km S of Borrego Springs, CA",0.99,-116.37,33.0661667,5.653
"M 1.0 - 17km SSE of Borrego Springs, CA",0.96,-116.3253333,33.1071667,20.311
"M 0.9 - 12km SE of Anza, CA",0.92,-116.568,33.4851667,6.019
"M 0.8 - 11km SSE of Hemet, CA",0.81,-116.9393333,33.6565,13.646
"M 1.6 - 21km ESE of Ocotillo Wells, CA",1.57,-115.9198333,33.0773333,6.599
"M 0.4 - 12km SE of Anza, CA",0.39,-116.5653333,33.4893333,5.569
"M 1.6 - 6km WSW of Holtville, CA",1.59,-115.4418333,32.7845,13.16
"M 0.9 - 7km NE of Anza, CA",0.87,-116.6211667,33.601,13.376
"M 0.5 - 12km SE of Anza, CA",0.46,-116.5683333,33.4891667,7.579
"M 1.0 - 7km NNE of Yucaipa, CA",1.04,-117.007,34.0921667,6.565
"M 1.1 - 20km ESE of Anza, CA",1.13,-116.47,33.5061667,7.857
"M 1.9 - 2km NNW of Cabazon, CA",1.91,-116.7965,33.9291667,10.067
"M 0.6 - 6km SSE of Idyllwild, CA",0.63,-116.705,33.6833333,15.917
"M 1.0 - 7km S of Borrego Springs, CA",1.02,-116.3681667,33.1891667,10.469
"M 1.0 - 7km S of Borrego Springs, CA",0.97,-116.3613333,33.1911667,9.729
"M 0.7 - 8km ESE of Valle Vista, CA",0.65,-116.8078333,33.724,14.779
